Cause Of Conflict (Long),Comment,Dates,End Year,Link,Notes On Targeted Peoples Figures,NULL Highlight,Parameter - Size Sort by,Parameter - Sort by in dashboard,Selected Conflict,Senseless / Conflict Deaths,Size Of Conflict,Source,Start Year,Summary,Tooltip - year(s) plural/singular,Type Of Conflict,Type Of Conflict2,Wikipedia Link,YEARS OF CONFLICT,Deaths,Deaths As % Of Targeted Peoples,Duration Of Conflict,How Many Years?,Months (For Wars <3 Years),No. Targeted Peoples,Size Of Conflict As Integer
"A multi-party war in the former Russian Empire fought between the Bolshevik Red Army and the White Army, the loosely allied anti-Bolshevik forces. Many foreign armies warred against the Red Army, notably the Allied Forces and the pro-German armies.",,1917-1922,1922,http://necrometrics.com/20c5m.htm,Population of Russia 1917.,,,,False,RUSSIAN CIVIL WAR,LARGE COUNTRY,necrometrics.com,1917,"After the Russian Revolution, many factions battled each other for domination. Many civilians and 'enemies of the people' were executed.",years,CIVIL WAR,,http://en.wikipedia.org/wiki/Russian_Civil_War,1922,9000000,7.2%,5,5,60,125640021,4
"Russia sought a warm water port on the Pacific Ocean in Japanese territory. Japan offered to recognize Russian dominance in Manchuria in exchange for recognition of Korea as a Japanese sphere of influence. Russia refused this, so Japan chose war to counter the Russian aggression in Asia.",,1904-1905,1905,http://necrometrics.com/20c100k.htm#RJW,"Combined population of Russia & Japan, of which:
Russia - 125,640,021
Japan - 46,620,000",,,,False,RUSSO-JAPANESE WAR,INTERNATIONAL,Twentieth Century Atlas,1904,Negotiations between Russia and Japan over territory brokedown and led to a local war.,year,WAR,,http://en.wikipedia.org/wiki/Russo-Japanese_War,1904,130000,0.1%,1.42,1,17,172260021,7
"Russia sought a warm water port on the Pacific Ocean in Japanese territory. Japan offered to recognize Russian dominance in Manchuria in exchange for recognition of Korea as a Japanese sphere of influence. Russia refused this, so Japan chose war to counter the Russian aggression in Asia.",,1904-1905,1905,http://necrometrics.com/20c100k.htm#RJW,"Combined population of Russia & Japan, of which:
Russia - 125,640,021
Japan - 46,620,000",,,,False,RUSSO-JAPANESE WAR,INTERNATIONAL,Twentieth Century Atlas,1904,Negotiations between Russia and Japan over territory brokedown and led to a local war.,year,WAR,,http://en.wikipedia.org/wiki/Russo-Japanese_War,1905,130000,0.1%,1.42,1,17,172260021,7
"Genocidal mass slaughter of the Tutsis by the Hutus that took place in 1994. It was the culmination of longstanding ethnic competition and tensions between the minority Tutsi, who had controlled power for centuries, and the majority Hutu peoples, who had come to power in the rebellion of 1959–62.",Not including civil wars. Source is a resource from a educational course on modern genocide.,April-July 1994,1994,https://docs.google.com/viewer?a=v&q=cache:FPckMtHNGMwJ:www.teachgenocide.com/files/LessonPlans/Overhead/Case%2520Study%2520First%2520Modern%2520Genocide%252020th%2520Century%25204th%2520Ed-%2520Overheads%2520-%2520Section%25204.pdf+genocide+20th+century&hl=en&gl=uk&pid=bl&srcid=ADGEESiEOlXYEEsUrnD9wZSNnDdD6QuOHhg4UnSJ-jD5J1T1oYQqz8VZ402ncofnDjezprcLxvMlZmSv1uXVfqnk6eLVnaDudiLy0SWuz2nyWMmj-a0X0-NSMh84Cv0mfsc7Zb6PcF_Y&sig=AHIEtbQhIQolCrcDCdRUGtZ3hrGHcm_tNA,Est. number of Tutsi peoples living in Rwanda at the time. Based on reports of 800k deaths and 300k survivors.,,,,False,RWANDAN GENOCIDE,SMALL COUNTRY,A Case Study of the First Modern Genocide of the 20th Century,1994,The genocidal mass slaughter of the ethnic Tutsi people by the Hutu peoples. Over 20% of the population were slain.,years,GENOCIDE,,http://en.wikipedia.org/wiki/Rwandan_Genocide,1994,800000,72.7%,0.25,0,3,1100000,2
Dutch refused to concede Cape Colony to the Brits. Tensions simmered until the Uitlander question ignited the Boer War.,,1899-1902,1902,http://www.bbc.co.uk/news/10390469,"Including population of the region 1900, plus British/colonial & other African troops.
Population: 1,400,000
British & colonial forces: 472,000
",,,,False,SECOND BOER WAR,MEDIUM REGION,BBC,1899,"Bloody war between Dutch settlers and British colonial government over the diamonds, gold and other resources of what is now South Africa.",years,WAR,territorial,http://en.wikipedia.org/wiki/Second_Boer_War,1899,59000,3.2%,3,3,36,1872000,5
Dutch refused to concede Cape Colony to the Brits. Tensions simmered until the Uitlander question ignited the Boer War.,,1899-1902,1902,http://www.bbc.co.uk/news/10390469,"Including population of the region 1900, plus British/colonial & other African troops.
Population: 1,400,000
British & colonial forces: 472,000
",,,,False,SECOND BOER WAR,MEDIUM REGION,BBC,1899,"Bloody war between Dutch settlers and British colonial government over the diamonds, gold and other resources of what is now South Africa.",years,WAR,territorial,http://en.wikipedia.org/wiki/Second_Boer_War,1900,59000,3.2%,3,3,36,1872000,5
Dutch refused to concede Cape Colony to the Brits. Tensions simmered until the Uitlander question ignited the Boer War.,,1899-1902,1902,http://www.bbc.co.uk/news/10390469,"Including population of the region 1900, plus British/colonial & other African troops.
Population: 1,400,000
British & colonial forces: 472,000
",,,,False,SECOND BOER WAR,MEDIUM REGION,BBC,1899,"Bloody war between Dutch settlers and British colonial government over the diamonds, gold and other resources of what is now South Africa.",years,WAR,territorial,http://en.wikipedia.org/wiki/Second_Boer_War,1901,59000,3.2%,3,3,36,1872000,5
Dutch refused to concede Cape Colony to the Brits. Tensions simmered until the Uitlander question ignited the Boer War.,,1899-1902,1902,http://www.bbc.co.uk/news/10390469,"Including population of the region 1900, plus British/colonial & other African troops.
Population: 1,400,000
British & colonial forces: 472,000
",,,,False,SECOND BOER WAR,MEDIUM REGION,BBC,1899,"Bloody war between Dutch settlers and British colonial government over the diamonds, gold and other resources of what is now South Africa.",years,WAR,territorial,http://en.wikipedia.org/wiki/Second_Boer_War,1902,59000,3.2%,3,3,36,1872000,5
"A fight between the central government expanding and dominating peoples of the periphery. An ethnoreligious war where the muslim central government's pursuits to impose sharia law on non-muslim southerners led to violence, and eventually to the civil war.","Not including famine deaths. SIPRI 1997: 37,000 to 40,000 battle dead. Est. 50,000 whole 20thC, 30,000 1990-99.",1983-2005,2005,http://necrometrics.com/20c1m.htm,Population of Sudan 1983.,,,,False,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,necrometrics.com and Sudan Peace Act (.gov website),1983,"An extension of the First Sudanese civil war. War, famine and disease consumed and killed a large portion of the population.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,1983,2000000,9.3%,22,22,264,21600000,3
"A fight between the central government expanding and dominating peoples of the periphery. An ethnoreligious war where the muslim central government's pursuits to impose sharia law on non-muslim southerners led to violence, and eventually to the civil war.","Not including famine deaths. SIPRI 1997: 37,000 to 40,000 battle dead. Est. 50,000 whole 20thC, 30,000 1990-99.",1983-2005,2005,http://necrometrics.com/20c1m.htm,Population of Sudan 1983.,,,,False,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,necrometrics.com and Sudan Peace Act (.gov website),1983,"An extension of the First Sudanese civil war. War, famine and disease consumed and killed a large portion of the population.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,1984,2000000,9.3%,22,22,264,21600000,3
"A fight between the central government expanding and dominating peoples of the periphery. An ethnoreligious war where the muslim central government's pursuits to impose sharia law on non-muslim southerners led to violence, and eventually to the civil war.","Not including famine deaths. SIPRI 1997: 37,000 to 40,000 battle dead. Est. 50,000 whole 20thC, 30,000 1990-99.",1983-2005,2005,http://necrometrics.com/20c1m.htm,Population of Sudan 1983.,,,,False,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,necrometrics.com and Sudan Peace Act (.gov website),1983,"An extension of the First Sudanese civil war. War, famine and disease consumed and killed a large portion of the population.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,1985,2000000,9.3%,22,22,264,21600000,3
"A fight between the central government expanding and dominating peoples of the periphery. An ethnoreligious war where the muslim central government's pursuits to impose sharia law on non-muslim southerners led to violence, and eventually to the civil war.","Not including famine deaths. SIPRI 1997: 37,000 to 40,000 battle dead. Est. 50,000 whole 20thC, 30,000 1990-99.",1983-2005,2005,http://necrometrics.com/20c1m.htm,Population of Sudan 1983.,,,,False,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,necrometrics.com and Sudan Peace Act (.gov website),1983,"An extension of the First Sudanese civil war. War, famine and disease consumed and killed a large portion of the population.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,1986,2000000,9.3%,22,22,264,21600000,3
"A fight between the central government expanding and dominating peoples of the periphery. An ethnoreligious war where the muslim central government's pursuits to impose sharia law on non-muslim southerners led to violence, and eventually to the civil war.","Not including famine deaths. SIPRI 1997: 37,000 to 40,000 battle dead. Est. 50,000 whole 20thC, 30,000 1990-99.",1983-2005,2005,http://necrometrics.com/20c1m.htm,Population of Sudan 1983.,,,,False,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,necrometrics.com and Sudan Peace Act (.gov website),1983,"An extension of the First Sudanese civil war. War, famine and disease consumed and killed a large portion of the population.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,1987,2000000,9.3%,22,22,264,21600000,3
"A fight between the central government expanding and dominating peoples of the periphery. An ethnoreligious war where the muslim central government's pursuits to impose sharia law on non-muslim southerners led to violence, and eventually to the civil war.","Not including famine deaths. SIPRI 1997: 37,000 to 40,000 battle dead. Est. 50,000 whole 20thC, 30,000 1990-99.",1983-2005,2005,http://necrometrics.com/20c1m.htm,Population of Sudan 1983.,,,,False,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,necrometrics.com and Sudan Peace Act (.gov website),1983,"An extension of the First Sudanese civil war. War, famine and disease consumed and killed a large portion of the population.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,1988,2000000,9.3%,22,22,264,21600000,3
"A fight between the central government expanding and dominating peoples of the periphery. An ethnoreligious war where the muslim central government's pursuits to impose sharia law on non-muslim southerners led to violence, and eventually to the civil war.","Not including famine deaths. SIPRI 1997: 37,000 to 40,000 battle dead. Est. 50,000 whole 20thC, 30,000 1990-99.",1983-2005,2005,http://necrometrics.com/20c1m.htm,Population of Sudan 1983.,,,,False,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,necrometrics.com and Sudan Peace Act (.gov website),1983,"An extension of the First Sudanese civil war. War, famine and disease consumed and killed a large portion of the population.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,1989,2000000,9.3%,22,22,264,21600000,3
"A fight between the central government expanding and dominating peoples of the periphery. An ethnoreligious war where the muslim central government's pursuits to impose sharia law on non-muslim southerners led to violence, and eventually to the civil war.","Not including famine deaths. SIPRI 1997: 37,000 to 40,000 battle dead. Est. 50,000 whole 20thC, 30,000 1990-99.",1983-2005,2005,http://necrometrics.com/20c1m.htm,Population of Sudan 1983.,,,,False,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,necrometrics.com and Sudan Peace Act (.gov website),1983,"An extension of the First Sudanese civil war. War, famine and disease consumed and killed a large portion of the population.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,1990,2000000,9.3%,22,22,264,21600000,3
"A fight between the central government expanding and dominating peoples of the periphery. An ethnoreligious war where the muslim central government's pursuits to impose sharia law on non-muslim southerners led to violence, and eventually to the civil war.","Not including famine deaths. SIPRI 1997: 37,000 to 40,000 battle dead. Est. 50,000 whole 20thC, 30,000 1990-99.",1983-2005,2005,http://necrometrics.com/20c1m.htm,Population of Sudan 1983.,,,,False,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,necrometrics.com and Sudan Peace Act (.gov website),1983,"An extension of the First Sudanese civil war. War, famine and disease consumed and killed a large portion of the population.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,1991,2000000,9.3%,22,22,264,21600000,3
"A fight between the central government expanding and dominating peoples of the periphery. An ethnoreligious war where the muslim central government's pursuits to impose sharia law on non-muslim southerners led to violence, and eventually to the civil war.","Not including famine deaths. SIPRI 1997: 37,000 to 40,000 battle dead. Est. 50,000 whole 20thC, 30,000 1990-99.",1983-2005,2005,http://necrometrics.com/20c1m.htm,Population of Sudan 1983.,,,,False,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,necrometrics.com and Sudan Peace Act (.gov website),1983,"An extension of the First Sudanese civil war. War, famine and disease consumed and killed a large portion of the population.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,1992,2000000,9.3%,22,22,264,21600000,3
"A fight between the central government expanding and dominating peoples of the periphery. An ethnoreligious war where the muslim central government's pursuits to impose sharia law on non-muslim southerners led to violence, and eventually to the civil war.","Not including famine deaths. SIPRI 1997: 37,000 to 40,000 battle dead. Est. 50,000 whole 20thC, 30,000 1990-99.",1983-2005,2005,http://necrometrics.com/20c1m.htm,Population of Sudan 1983.,,,,False,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,necrometrics.com and Sudan Peace Act (.gov website),1983,"An extension of the First Sudanese civil war. War, famine and disease consumed and killed a large portion of the population.",years,CIVIL WAR,ethnoreligious,http://en.wikipedia.org/wiki/Second_Sudanese_Civil_War,1993,2000000,9.3%,22,22,264,21600000,3
